generation,rank_1,rank_2,swapAccepted
1000,2,4,1
2000,1,3,1
3000,2,3,1
4000,1,3,1
5000,1,4,1
6000,3,4,1
7000,1,3,1
8000,2,3,1
9000,1,4,1
10000,1,2,1
11000,1,4,1
12000,1,4,1
13000,1,3,1
14000,1,2,1
15000,1,3,1
16000,1,2,1
17000,1,4,1
18000,1,4,1
19000,2,4,1
20000,1,2,1
21000,1,4,1
22000,1,2,1
23000,2,4,1
24000,1,4,1
25000,1,3,1
26000,1,4,1
27000,3,4,1
28000,2,3,1
29000,1,4,1
30000,2,3,1
31000,1,4,1
32000,1,3,1
33000,3,4,1
34000,2,3,1
35000,1,4,1
36000,1,4,1
37000,2,4,1
38000,1,2,1
39000,2,3,1
40000,3,4,1
41000,1,3,1
42000,3,4,1
43000,1,4,1
44000,2,4,1
45000,2,4,1
46000,2,3,1
47000,1,4,1
48000,2,4,1
49000,2,4,1
50000,1,4,1
51000,1,3,1
52000,1,3,1
53000,1,4,1
54000,1,3,1
55000,1,4,1
56000,1,2,1
57000,2,3,1
58000,1,3,1
59000,2,4,1
60000,1,2,1
61000,1,2,1
62000,2,4,1
63000,2,3,1
64000,1,3,1
65000,1,2,1
66000,2,4,1
67000,2,3,1
68000,2,3,1
69000,1,3,1
70000,2,3,1
71000,2,3,1
72000,1,4,1
73000,1,4,1
74000,1,3,1
75000,2,3,1
76000,1,3,1
77000,1,3,1
78000,1,3,1
79000,2,3,1
80000,2,3,1
81000,1,2,1
82000,1,3,1
83000,1,3,1
84000,1,3,1
85000,2,3,1
86000,1,3,1
87000,1,4,1
88000,2,4,1
89000,1,4,1
90000,3,4,1
91000,2,3,1
92000,3,4,1
93000,1,4,1
94000,3,4,1
95000,2,3,1
96000,1,4,1
97000,2,3,1
98000,2,3,1
99000,2,3,1
100000,2,3,1
101000,1,2,1
102000,2,3,1
103000,3,4,1
104000,1,4,1
105000,3,4,1
106000,3,4,1
107000,1,3,1
108000,1,4,1
109000,1,3,1
110000,3,4,1
111000,2,3,1
112000,2,4,1
113000,1,3,1
114000,1,4,1
115000,1,4,1
116000,1,2,1
117000,2,3,1
118000,1,4,1
119000,3,4,1
120000,2,3,1
121000,2,4,1
122000,1,3,1
123000,1,3,1
124000,2,4,1
125000,1,3,1
126000,2,3,1
127000,2,3,1
128000,1,2,1
129000,3,4,1
130000,1,3,1
131000,1,3,1
132000,3,4,1
133000,2,4,1
134000,2,3,1
135000,1,2,1
136000,1,2,1
137000,3,4,1
138000,2,4,1
139000,3,4,1
140000,1,3,1
141000,2,3,1
142000,1,4,1
143000,1,3,1
144000,2,4,1
145000,2,3,1
146000,1,2,1
147000,1,4,1
148000,1,3,1
149000,1,2,1
150000,1,3,1
151000,2,3,1
152000,1,4,1
153000,3,4,1
154000,2,4,1
155000,1,2,1
156000,1,2,1
157000,2,4,1
158000,2,4,1
159000,2,4,1
160000,1,3,1
161000,3,4,1
162000,2,4,1
163000,3,4,1
164000,3,4,1
165000,1,3,1
166000,1,4,1
167000,2,4,1
168000,2,4,1
169000,1,3,1
170000,2,3,1
171000,2,3,1
172000,1,3,1
173000,1,3,1
174000,1,4,1
175000,1,4,1
176000,1,2,1
177000,1,4,1
178000,1,2,1
179000,3,4,1
180000,2,4,1
181000,1,2,1
182000,1,3,1
183000,2,3,1
184000,2,3,1
185000,1,3,1
186000,3,4,1
187000,1,3,1
188000,2,4,1
189000,3,4,1
190000,1,2,1
191000,3,4,1
192000,3,4,1
193000,2,4,1
194000,1,3,1
195000,1,4,1
196000,1,4,1
197000,1,2,1
198000,1,2,1
199000,2,3,1
200000,1,2,1
201000,1,2,1
202000,1,4,1
203000,3,4,1
204000,2,3,1
205000,1,2,1
206000,3,4,1
207000,3,4,0
208000,1,4,1
209000,1,4,1
210000,2,4,1
211000,1,3,1
212000,1,4,1
213000,1,3,1
214000,3,4,1
215000,1,3,1
216000,1,4,1
217000,1,2,1
218000,2,4,1
219000,2,4,1
220000,1,4,1
221000,2,4,1
222000,2,3,1
223000,2,4,1
224000,1,4,1
225000,2,3,1
226000,3,4,1
227000,3,4,1
228000,2,4,1
229000,1,2,1
230000,2,4,1
231000,1,2,1
232000,2,4,1
233000,2,4,1
234000,1,4,0
235000,2,3,1
236000,1,4,1
237000,1,3,1
238000,1,4,1
239000,3,4,1
240000,1,2,1
241000,3,4,1
242000,2,3,1
243000,1,4,1
244000,2,4,1
245000,1,2,1
246000,1,2,1
247000,2,3,1
248000,2,4,1
249000,1,2,1
250000,1,4,1
251000,1,4,1
252000,1,2,1
253000,1,3,1
254000,1,2,1
255000,2,3,1
256000,3,4,1
257000,2,3,1
258000,1,2,1
259000,1,2,1
260000,2,4,1
261000,2,4,1
262000,3,4,1
263000,1,3,1
264000,1,4,1
265000,1,4,1
266000,3,4,1
267000,1,3,1
268000,1,3,1
269000,2,3,1
270000,1,4,1
271000,1,2,1
272000,3,4,1
273000,1,2,1
274000,1,4,1
275000,3,4,0
276000,1,2,1
277000,1,3,1
278000,1,3,1
279000,1,4,1
280000,1,4,1
281000,2,4,1
282000,2,3,1
283000,1,4,1
284000,2,3,1
285000,1,3,1
286000,1,4,1
287000,1,3,1
288000,3,4,1
289000,2,4,1
290000,1,4,1
291000,1,3,1
292000,1,4,1
293000,3,4,1
294000,1,4,1
295000,1,3,1
296000,2,3,1
297000,1,4,1
298000,3,4,1
299000,1,4,1
300000,1,4,1
301000,1,2,1
302000,3,4,1
303000,1,2,1
304000,2,4,1
305000,2,3,1
306000,1,2,1
307000,1,2,1
308000,3,4,1
309000,3,4,1
310000,2,4,1
311000,1,4,1
312000,1,4,1
313000,2,3,1
314000,2,3,1
315000,2,3,1
316000,1,3,1
317000,1,4,1
318000,1,4,1
319000,2,3,1
320000,2,4,1
321000,2,4,1
322000,1,3,1
323000,3,4,1
324000,3,4,1
325000,3,4,1
326000,1,2,1
327000,3,4,1
328000,1,4,1
329000,1,2,1
330000,3,4,1
331000,2,4,1
332000,2,3,1
333000,2,3,1
334000,3,4,1
335000,1,3,1
336000,1,2,1
337000,1,2,1
338000,3,4,1
339000,1,3,1
340000,1,4,1
341000,3,4,1
342000,3,4,1
343000,2,3,1
344000,2,3,1
345000,3,4,1
346000,3,4,1
347000,2,4,0
348000,1,2,1
349000,1,3,1
350000,1,4,1
351000,1,2,1
352000,1,3,1
353000,1,3,1
354000,1,2,1
355000,1,2,1
356000,3,4,1
357000,1,4,1
358000,1,3,1
359000,2,4,1
360000,1,3,1
361000,1,3,1
362000,2,3,1
363000,2,3,1
364000,3,4,1
365000,1,3,1
366000,2,4,1
367000,1,2,1
368000,2,4,1
369000,2,4,1
370000,2,3,1
371000,3,4,1
372000,3,4,1
373000,2,3,1
374000,2,3,1
375000,3,4,1
376000,2,4,1
377000,2,4,1
378000,2,4,1
379000,1,3,1
380000,1,2,1
381000,2,3,1
382000,1,3,1
383000,1,4,1
384000,2,3,1
385000,1,2,1
386000,1,4,1
387000,2,3,1
388000,3,4,1
389000,2,4,1
390000,1,2,1
391000,3,4,1
392000,1,4,1
393000,2,3,1
394000,1,4,1
395000,1,4,1
396000,2,4,1
397000,1,4,1
398000,3,4,1
399000,2,3,1
400000,3,4,1
401000,1,2,1
402000,2,3,1
403000,2,3,1
404000,1,2,1
405000,1,2,1
406000,1,2,1
407000,2,3,1
408000,2,4,1
409000,1,3,1
410000,1,3,1
411000,2,3,1
412000,1,2,1
413000,1,4,1
414000,2,3,1
415000,1,3,1
416000,1,3,1
417000,3,4,1
418000,2,4,1
419000,1,3,1
420000,3,4,1
421000,1,4,1
422000,3,4,1
423000,3,4,1
424000,1,2,1
425000,1,2,1
426000,2,3,1
427000,1,2,1
428000,3,4,1
429000,2,3,1
430000,2,3,1
431000,1,2,1
432000,1,3,1
433000,2,3,1
434000,1,4,1
435000,2,4,1
436000,1,4,1
437000,2,3,1
438000,1,3,1
439000,2,4,1
440000,2,3,1
441000,3,4,1
442000,1,2,1
443000,1,3,1
444000,1,4,1
445000,2,3,1
446000,1,2,1
447000,1,4,1
448000,1,4,1
449000,3,4,1
450000,1,4,1
451000,3,4,1
452000,2,4,1
453000,2,4,1
454000,1,4,1
455000,2,4,1
456000,1,4,1
457000,2,3,1
458000,3,4,1
459000,1,4,1
460000,2,3,1
461000,2,4,1
462000,1,4,1
463000,1,4,1
464000,2,4,1
465000,1,3,1
466000,1,3,1
467000,1,3,1
468000,2,3,1
469000,1,3,1
470000,2,3,1
471000,1,3,1
472000,2,3,1
473000,1,2,1
474000,2,3,0
475000,2,3,1
476000,3,4,1
477000,1,4,1
478000,1,4,1
479000,1,3,1
480000,1,2,1
481000,1,2,1
482000,1,4,1
483000,1,3,1
484000,2,4,1
485000,2,4,1
486000,1,3,0
487000,3,4,1
488000,1,4,1
489000,1,2,1
490000,2,3,1
491000,3,4,1
492000,1,2,1
493000,3,4,1
494000,1,4,1
495000,1,3,1
496000,1,2,1
497000,2,4,1
498000,1,4,1
499000,1,4,1
500000,1,4,1
501000,1,3,1
502000,2,4,1
503000,2,4,1
504000,1,3,1
505000,1,2,1
506000,1,4,1
507000,1,2,1
508000,2,3,1
509000,1,2,1
510000,2,3,1
511000,1,3,1
512000,1,2,1
513000,2,3,1
514000,3,4,1
515000,3,4,1
516000,1,3,1
517000,1,3,1
518000,1,4,1
519000,3,4,1
520000,2,3,1
521000,2,3,1
522000,2,3,1
523000,1,4,1
524000,1,4,1
525000,1,4,1
526000,3,4,1
527000,2,4,1
528000,1,4,1
529000,1,2,1
530000,1,3,1
531000,2,4,1
532000,1,4,1
533000,1,4,1
534000,2,4,1
535000,3,4,1
536000,1,4,1
537000,2,3,1
538000,2,4,1
539000,1,3,1
540000,1,4,1
541000,1,4,1
542000,2,4,1
543000,2,3,1
544000,2,4,1
545000,2,3,1
546000,3,4,1
547000,3,4,1
548000,3,4,1
549000,1,2,1
550000,1,2,1
551000,1,3,1
552000,2,4,1
553000,2,4,1
554000,2,3,1
555000,1,3,1
556000,3,4,1
557000,3,4,1
558000,1,3,1
559000,1,2,1
560000,1,4,1
561000,1,3,1
562000,2,4,1
563000,1,4,1
564000,2,4,1
565000,3,4,1
566000,1,2,1
567000,1,3,1
568000,1,2,1
569000,2,3,1
570000,1,3,1
571000,1,4,1
572000,1,3,1
573000,1,4,1
574000,1,2,1
575000,2,3,1
576000,1,3,1
577000,3,4,1
578000,3,4,1
579000,3,4,1
580000,1,4,1
581000,1,2,1
582000,1,4,1
583000,1,4,1
584000,3,4,1
585000,1,3,1
586000,1,3,1
587000,3,4,1
588000,1,4,1
589000,2,3,1
590000,2,4,1
591000,2,3,1
592000,1,4,1
593000,1,2,1
594000,2,3,1
595000,1,4,1
596000,2,3,1
597000,1,4,1
598000,1,2,1
599000,1,3,1
600000,2,4,1
601000,1,4,1
602000,2,4,1
603000,1,2,1
604000,2,3,1
605000,1,3,1
606000,1,2,1
607000,3,4,1
608000,1,4,1
609000,2,4,1
610000,1,4,1
611000,2,3,1
612000,1,4,1
613000,1,3,1
614000,1,3,1
615000,1,3,1
616000,1,3,1
617000,3,4,1
618000,3,4,1
619000,3,4,1
620000,1,2,1
621000,1,3,1
622000,2,3,1
623000,3,4,1
624000,1,3,1
625000,1,3,1
626000,2,4,1
627000,2,4,1
628000,1,2,1
629000,2,4,1
630000,2,4,1
631000,2,3,1
632000,1,4,1
633000,2,3,1
634000,1,2,1
635000,2,3,1
636000,1,3,1
637000,3,4,1
638000,2,4,1
639000,1,2,1
640000,1,2,1
641000,2,4,1
642000,2,4,1
643000,1,3,1
644000,2,4,1
645000,2,3,1
646000,1,4,1
647000,3,4,1
648000,1,3,1
649000,1,4,1
650000,2,4,1
651000,3,4,1
652000,1,2,1
653000,3,4,1
654000,3,4,1
655000,1,4,1
656000,2,3,1
657000,1,3,1
658000,1,4,0
659000,3,4,1
660000,2,3,1
661000,2,4,1
662000,2,3,1
663000,1,4,1
664000,1,2,1
665000,2,4,1
666000,2,3,1
667000,2,3,1
668000,2,3,1
669000,2,3,1
670000,2,4,1
671000,1,4,1
672000,1,3,1
673000,3,4,1
674000,1,2,1
675000,1,4,1
676000,3,4,1
677000,1,4,1
678000,2,3,1
679000,2,3,1
680000,1,4,1
681000,3,4,1
682000,2,3,1
683000,3,4,1
684000,1,3,1
685000,3,4,1
686000,2,4,1
687000,3,4,1
688000,2,3,1
689000,3,4,1
690000,2,4,1
691000,2,4,1
692000,3,4,1
693000,1,2,1
694000,1,3,1
695000,1,3,1
696000,1,4,1
697000,2,4,1
698000,1,3,1
699000,3,4,1
700000,1,3,1
701000,2,4,1
702000,2,4,1
703000,1,2,1
704000,2,3,1
705000,3,4,1
706000,2,4,1
707000,1,4,1
708000,2,3,1
709000,1,4,1
710000,2,3,1
711000,2,3,1
712000,2,3,1
713000,1,2,1
714000,1,2,1
715000,1,4,1
716000,1,4,1
717000,2,4,1
718000,1,2,1
719000,2,4,1
720000,2,3,1
721000,2,4,1
722000,2,4,1
723000,1,4,1
724000,1,2,1
725000,3,4,1
726000,1,4,1
727000,2,4,1
728000,2,4,1
729000,2,3,1
730000,2,4,1
731000,3,4,1
732000,1,4,1
733000,2,4,1
734000,2,4,1
735000,2,4,1
736000,1,4,1
737000,3,4,1
738000,1,2,1
739000,1,3,0
740000,1,4,1
741000,2,3,1
742000,1,3,1
743000,2,3,1
744000,1,4,1
745000,1,2,1
746000,1,2,1
747000,1,2,1
748000,2,4,1
749000,3,4,1
750000,1,4,1
751000,1,2,1
752000,1,4,1
753000,2,3,1
754000,1,4,1
755000,2,4,1
756000,1,2,1
757000,1,3,1
758000,1,4,1
759000,2,3,1
760000,1,2,1
761000,3,4,1
762000,1,2,1
763000,3,4,1
764000,2,3,1
765000,1,4,1
766000,2,4,1
767000,2,3,1
768000,3,4,1
769000,3,4,1
770000,2,3,1
771000,1,3,1
772000,1,4,1
773000,1,3,1
774000,1,2,1
775000,2,3,1
776000,1,3,1
777000,2,3,1
778000,1,4,1
779000,2,3,1
780000,2,3,1
781000,1,4,1
782000,1,4,1
783000,2,4,1
784000,2,4,1
